Day,Location,Min Delay,Bound
Sunday,BROADVIEW AND GERRARD,15,W
Sunday,KING AND BATHURST,10,W
Sunday,KING AND BATHURST,25,E
Sunday,SPADINA AND DUNDAS,15,S
Sunday,LAKE SHORE AND THIRTY,10,W
Sunday,SPADINA AND FRONT,14,N
Sunday,COXWELL AND LOWER GERR,10,N
Sunday,DUNDAS AND UNIVERSITY,10,E
Sunday,PARLIAMENT AND ST DAVI,10,S
Sunday,WINCHESTER AND PARLIAM,10,E
Sunday,ST CLAIR STATION,7,W
Sunday,CARLTON AND PARLIAMENT,10,W
Sunday,HARBORD AND OSSINGTON,10,E
Sunday,DUNDAS AND EDNA,8,E
Sunday,QUEEN AND PETER,8,W
Sunday,DUNDAS WEST STATION,7,W
Sunday,QUEENS QUAY AND LOWER,7,E
Sunday,DUNDAS AND BAY,9,E
Sunday,OAKWOOD LOOP,6,E
Sunday,DUNDAS AND BROCK,7,W
Sunday,QUEEN AND DUFFERIN,7,E
Sunday,LOWER SPADINA AND QUEE,4,N
Sunday,MCCAUL AND DUNDAS,7,S
Sunday,QUEEN AND BROADVIEW,14,E
Sunday,KING AND BATHURST,10,E
Sunday,DUNDAS AND YONGE,19,W
Sunday,MCCAUL LOOP,9,E
Sunday,QUEENS QUAY AND REES,10,E
Sunday,DUNDAS WEST STATION,8,E
Monday,QUEEN AND PARLIAMENT,18,E
Monday,QUEEN AND RONCESVALLES,10,W
Monday,OSSINGTON STATION,10,E
Monday,REXDALE AND ISLINGTON,11,W
Monday,KIPLING AND LAKESHORE,7,E
Monday,ST CLAIR AND AVENUE,18,E
Monday,DUNDAS AND JARVIS,10,W
Monday,DUFFERIN GATE,7,W
Monday,QUEEN AND DOWLING,24,W
Monday,ST CLAIR STATION,8,E
Monday,CHURCH AND CARLTON,37,N
Monday,RICHMOND AND CHURCH,10,W
Monday,DUNDAS AND PATRICK,10,W
Monday,QUEENS QUAY AND HARBOU,10,W
Monday,QUEEN AND DOVERCOURT,33,W
Monday,SPADINA AND QUEENS QUA,5,S
Monday,MANITOBA DRIVE,10,W
Monday,KIING AND BATHURST,8,E
Tuesday,BROADVIEW STATION,9,N
Tuesday,QUEEN AND DUFFERIN,12,E
Tuesday,OSSINGTON STATION,6,S
Tuesday,405 DUFFERIN ST,6,E
Tuesday,ADELAIDE AND CHURCH,8,E
Tuesday,DUNDAS WEST STATION,7,W
Tuesday,QUEENS QUAY AND LOWER,11,S
Tuesday,EGLINTON GARAGE,6,W
Tuesday,EGLINTON GARAGE,6,W
Tuesday,GERRARD AND PARLIAMENT,9,W
Tuesday,DUNDAS AND BROADVIEW,8,W
Tuesday,COLLEGE AND OSSINGTON,9,E
Tuesday,HOWARD PARK AND RONCES,5,W
Tuesday,CARLTON AND PARLIAMENT,12,E
Tuesday,DUNDAS AND OSSINGTON,8,W
Tuesday,COXWELL AND LOWER GERR,4,E
Tuesday,KIPLING AND LAKE SHORE,8,W
Tuesday,GERRARD AND BROADVIEW,16,E
Tuesday,LAKE SHORE AND THIRTEE,8,E
Tuesday,QUEENS QUAY AND FERRY,6,N
Tuesday,KING AND YONGE,16,W
Wednesday,DUNDAS AND JARVIS,6,N
Wednesday,KING AND DUFFERIN,13,W
Wednesday,OSSINGTON STATION,7,S
Wednesday,CASTLE FRANK STATION,7,S
Wednesday,LAKESHORE AND NORRIS,6,N
Wednesday,SPADINA STATION,4,N
Wednesday,EXHIBITION LOOP,8,N
Wednesday,LAKESHORE BLVD AND BRO,8,W
Wednesday,QUEEN AND OSSINGTON,22,W
Wednesday,QUEEN AND SHERBOURNE,22,W
Wednesday,QUEEN AND DUFFERIN,8,N
Wednesday,BATHURST AND COLLEGE,8,S
Wednesday,DUNDAS AND BROADVIEW,19,E
Wednesday,OSSINGTON STATION,10,E
Wednesday,FRONT AND BATHURST,9,S
Wednesday,OSSINGTON STATION,10,E
Wednesday,COLLEGE AND BAY,32,W
Wednesday,LAKESHORE AND NORRIS,8,E
Wednesday,MAIN STREET STATION,16,W
Wednesday,KING AND SUDBURY,10,W
Wednesday,COLLEGE AND BATHURST,10,W
Wednesday,DUNDAS AND AUGUSTA,38,W
Wednesday,CASTLE FRANK STATION,10,W
Wednesday,COLLEGE AND BATHURST,10,E
Wednesday,CASTLE FRANK STATION,10,N
Wednesday,KING AND PORTLAND,10,E
Thursday,DUNDAS AND BAY,9,W
Thursday,KINGSTON AND VICTORIA,53,E
Thursday,DUNDAS WEST STATION,7,N
Thursday,QUEEN AND COXWELL,53,W
Thursday,QUEEN AND LOWER COXWEL,53,W
Thursday,CARLTON AND PARLIAMENT,9,E
Thursday,QUEEN AND DUFFERIN,8,E
Thursday,KINGSTON AND QUEEN,10,W
Thursday,BAY AND QUEENS QUAY TE,10,S
Thursday,EXHIBITION LOOP,6,E
Thursday,COLLEGE AND MORROW,9,N
Thursday,WINDMERE AND QUEENSWAY,8,W
Thursday,HOWARD PARK AND DUNDAS,18,W
Thursday,LAKESHORE AND THIRTY-S,8,W
Thursday,DUNDAS AND MANNING,12,E
Thursday,QUEEN AND CAMERON,8,W
Thursday,KING AND CHARLOTTE,10,E
Thursday,KING AND SPADINA,43,E
Friday,QUEEN AND RIVER,8,W
Friday,ST CLAIR AND SILVERTHO,10,W
Friday,GERRARD AND NORWOOD,5,E
Friday,KING AND DUFFERIN,8,S
Friday,QUEEN AND KINGSTON,7,E
Friday,QUEEN AND SHERBOURNE,7,E
Friday,BATHURST AND KING,9,S
Friday,LAKESHORE AND MARINE,7,W
Friday,QUEEN ROUTE,7,E
Friday,DUNDAS AND ST PATRICK,9,E
Friday,COLLEGE AND OSSINGTON,9,E
Friday,DUNDAS AND SPADINA,7,E
Friday,BATHURST AND KING,9,N
Friday,ST CLAIR AND VAUGHAN,10,W
Friday,QUEEN AND UNIVERSITY,14,W
Friday,GUNNS LOOP,16,E
Friday,ST CLAIR AND LANSDOWNE,16,W
Friday,SPADINA STATION,5,N
Friday,DUNDAS AND BAY,11,E
Friday,ST. CLAIR AND YONGE,8,W
Friday,BROADVIEW AND GERRARD,13,N
Friday,EXHIBITION LOOP,9,E
Friday,DUNDAS AND SHERBOURNE,5,E
Friday,HIGH PARK LOOP,10,E
Saturday,QUEEN AND KINGSTON,21,E
Saturday,COXWELL AND LOWER GERR,10,W
Saturday,BROADVIEW AND FAIRVIEW,7,S
Saturday,KING AND UNIVERSITY,9,E
Saturday,DUNDAS AND YONGE,14,E
Saturday,LAKESHORE BLVD W AND E,26,W
Saturday,SPADINA STATION,8,E
Saturday,QUEEN AND BROADVIEW,6,E
Saturday,HOWARD PARK AND RONCES,8,W
Saturday,BROADVIEW AND WOLFREY,11,N
Saturday,QUEEN AND SIMCOE,5,E
Saturday,BROADVIEW STATION,9,N
Saturday,LAKE SHORE AND 20TH,5,W
Saturday,KING AND BATHURST,27,W
Saturday,DUNDAS AND BROADVIEW,11,E
Saturday,VICTORIA AND RICHMOND,9,S
Saturday,DUNDAS WEST STATION,11,S
Saturday,GERRARD AND PARLIAMENT,10,W
Saturday,DUNDAS AND SPADINA,35,W
Saturday,FLEET AND BATHURST,57,E
Saturday,EXHIBITION LOOP,46,N
Saturday,KING AND BATHURST,10,W
